#MJD		B	errB	V	errV	R	errR	I	errI
53263.47	16.870	0.030	16.770	0.030	16.610	0.020	16.380	0.040
53267.20	17.105	0.016	16.866	0.018	16.622	0.007	16.277	0.032
53269.41	17.060	0.030	16.900	0.040	16.570	0.040	16.300	0.050
53272.17	17.305	0.016	16.966	0.019	16.712	0.010	16.258	0.033
53276.18	17.505	0.038	17.036	0.030	16.723	0.010	16.358	0.037
53280.24	17.495	0.016	17.066	0.020	16.742	0.009	16.308	0.032
53282.16	n	n	n	n	n	n	16.328	0.033
53283.40	17.525	0.016	17.116	0.019	16.782	0.007	16.328	0.033
53288.22	17.485	0.019	n	n	16.663	0.018	16.238	0.034
53290.41	n	n	17.116	0.066	n	n	n	n
53292.17	17.515	0.020	n	n	16.642	0.010	n	n
53294.26	17.570	0.030	17.030	0.030	16.610	0.030	16.250	0.030
53302.18	17.555	0.025	17.016	0.021	n	n	n	n
53303.46	17.525	0.019	16.966	0.027	16.492	0.007	16.117	0.037
53307.41	17.620	0.060	16.960	0.040	16.490	0.030	16.040	0.030
53308.37	17.595	0.070	n	n	n	n	n	n
53310.24	n	n	16.896	0.023	16.483	0.015	16.087	0.044
53312.51	17.520	0.040	16.870	0.030	16.430	0.030	16.070	0.030
53313.24	n	n	16.876	0.018	n	n	16.008	0.033
53315.45	17.500	0.040	16.860	0.020	16.430	0.020	16.050	0.050
53316.24	17.505	0.019	16.856	0.021	16.363	0.007	15.998	0.032
53317.30	17.650	0.030	16.780	0.020	16.500	0.020	16.090	0.050
53318.50	17.580	0.040	16.790	0.030	16.370	0.040	n	n
53320.45	17.530	0.020	16.890	0.020	16.420	0.020	16.040	0.040
53321.47	17.640	0.030	16.820	0.020	16.310	0.010	15.950	0.040
53322.17	17.595	0.018	16.856	0.019	16.392	0.007	15.967	0.033
53323.49	17.570	0.030	16.870	0.020	16.350	0.020	15.950	0.030
53325.26	17.605	0.015	16.906	0.018	16.402	0.006	n	n
53328.35	17.645	0.015	n	n	n	n	15.957	0.032
53329.25	n	n	16.856	0.019	16.363	0.007	n	n
53331.47	17.650	0.040	16.840	0.020	16.360	0.020	15.930	0.030
53335.16	n	n	16.906	0.027	16.312	0.026	n	n
53383.27	18.790	0.180	n	n	16.760	0.040	n	n
53386.12	18.995	0.051	17.776	0.029	16.992	0.014	16.317	0.046
53389.37	n	n	17.400	0.200	n	n	n	n
53405.22	n	n	17.840	0.140	17.070	0.070	n	n
53412.26	n	n	17.710	0.190	17.190	0.140	n	n
53538.45	n	n	21.006	0.657	19.973	0.091	19.087	0.540
53539.41	n	n	n	n	20.023	0.122	n	n
